ID,source,name,description,neighborhood_overview,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price
0,city scrape,The Nestt,Enjoy a memorable visit when you stay in this unique place.,,38029254,Mark,2015-07-09,,,within an hour,100%,89%,t,,8.0,"['email', 'phone', 'work_email']",t,t,Rocklea - Acacia Ridge,-27.55732,153.02027,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hair dryer"", ""Hangers"", ""Fire extinguisher"", ""Essentials"", ""Shampoo"", ""Air conditioning"", ""Free parking on premises"", ""Iron"", ""Kitchen"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""TV"", ""Hot water"", ""Exterior security cameras on property"", ""Wifi"", ""Washer""]",5,365,5.0,5.0,365.0,365.0,5.0,365.0,12,30,53,328,18,10,1,30,4,100,9700.0,2023-04-27,2025-10-25,4.56,4.61,4.44,4.78,4.61,4.28,4.5,f,8,8,0,0,0.58,$97.00
1,city scrape,Bayside Bliss - By the Water & Near the Airport,"Relax by the water and close to the airport, Bayside Bliss offers the perfect mix of convenience and coastal calm, with private access and a quiet garden.<br /><br />Unwind in your private space after a day of travel or exploring the local area. Stroll to nearby cafés, and restaurants by the bay, or let the kids enjoy the nearby wading pool and Whale Water Park, just a 10-minutes away.<br /><br />Ideal for weekends, family trips or a stopover before your next flight.<br /><br />Please note: Early check-in isn’t available.","Wynnum is nestled along Brisbane's sunny southern coastline, a vibrant suburb known for its family-friendly charm. Just a short 15-kilometer journey from the bustling Central Business District, Wynnum offers a refreshing escape for day-trippers seeking a more laid-back atmosphere.<br /><br />One of Wynnum's highlights is the picturesque Esplanade at Wynnum Foreshore, perfect for leisurely strolls and soaking up the coastal ambiance. Families will delight in the tidal seawater wading pool and waterpark, providing endless entertainment for little ones. For nature enthusiasts, Wynnum North bird hide offers a peaceful retreat to observe native birdlife, while the Wynnum Mangrove Boardwalk invites exploration with its captivating natural beauty and diverse ecosystem	.<br /><br />Fuel your adventures with Wynnum's cafe culture, with plenty of places along the water to choose from - Pelican's Nest Cafe (Wynnum), Tide on the Jetty (Manly), or Cafe Del Mer (Manly) to name a few. For a culinary ",33488214,Claire,2015-05-16,"Wynnum, Australia",,within an hour,100%,93%,t,,1.0,"['email', 'phone']",t,t,Wynnum,-27.44579,153.17909,Entire guest suite,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Laundromat nearby"", ""Refrigerator"", ""Bed linens"", ""Extra pillows and blankets"", ""Lockbox"", ""Shared backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Toaster"", ""Wifi"", ""Dishes and silverware"", ""Hot water kettle"", ""Hair dryer"", ""Free street parking"", ""Hangers"", ""Kitchenette"", ""Hot water"", ""Self check-in"", ""Shampoo"", ""Crib"", ""Wine glasses"", ""Exterior security cameras on property"", ""Ceiling fan"", ""Freezer"", ""Microwave"", ""AC - split type ductless system"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Free parking on premises"", ""Conditioner"", ""Private entrance"", ""Body soap"", ""TV"", ""Single level home"", ""Dining table""]",1,14,1.0,1.0,14.0,14.0,1.0,14.0,14,15,45,110,16,8,1,14,10,48,9840.0,2024-06-16,2025-11-02,4.94,4.88,5.0,4.94,4.94,4.88,4.69,f,1,1,0,0,0.93,$205.00
2,city scrape,Cozy 1 Bedroom Apartment with Infinity Pool,"My stunning apartment is located in one of the most vibrant and historic neighborhoods in Brisbane, which is known to the locals as “The Valley”. You will have the opportunity to experience the never-sleep lifestyle with varieties of Restaurants, cafes, and bars on James Street and you wouldn’t miss the U-shaped skyline pool in the building with a fantastic city skyline view.","Staying here allows you to experience the never-sleep Brisbane lifestyle. Restaurants, cafes and bars on James Street are waiting for you to explore along with the boutique retailers and cultural venues such as the Judith Wright Centre. Chinatown is just 6min walk away and South Bank is easy to access with Fortitude Valley Train Station at your doorstep.",401146490,Hao,2021-05-11,,"Roger and I love traveling, we fell in love with Australia on our honeymoon and moved to here 10 years ago. I am an interior designer and Roger is a property manager, Airbnb has helped us feel at home traveling and now we want to share this special connection to our guests through hosting Airbnb ourselves. I hope you will like our place as much as we do :)
Looking forward to hosting you, 
Emma & Roger",within an hour,100%,100%,f,,7.0,['phone'],t,t,Fortitude Valley,-27.45605,153.03245,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Essentials"", ""Dishwasher"", ""Bed linens"", ""Elevator"", ""Lockbox"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Pool"", ""Washer"", ""Hot water kettle"", ""Hair dryer"", ""Hangers"", ""Air conditioning"", ""Iron"", ""Hot water"", ""Stove"", ""Self check-in"", ""Dryer"", ""Shampoo"", ""Kitchen"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Patio or balcony"", ""TV"", ""Gym"", ""Single level home"", ""Oven""]",1,365,1.0,2.0,365.0,365.0,1.3,365.0,10,31,50,131,27,16,0,22,17,96,17856.0,2024-03-11,2025-10-11,4.7,4.7,4.67,4.7,4.81,4.67,4.56,t,7,7,0,0,1.33,$186.00
3,city scrape,City Stay-Executive 1.5 Bedroom,"Experience modern urban living in our stylish 1.5 bedroom executive apartment in Brisbane's Fortitude Valley. This chic retreat boasts contemporary furnishings, a well-appointed kitchen, and a cozy breakfast bar. The master bedroom features a plush queen-sized bed and a sleek en-suite bathroom. A versatile study or guest bedroom adds flexibility. Located centrally, you'll have easy access to dining, shopping, and entertainment venues, making it the perfect choice for your Brisbane stay.",,83183834,John,2016-07-11,"Hamilton, Australia",,within an hour,100%,100%,f,,1.0,"['email', 'phone']",t,t,Newstead - Bowen Hills,-27.4517008,153.0354542,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Outdoor shower"", ""Exercise equipment"", ""Refrigerator"", ""Coffee maker"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""BBQ grill"", ""Washer"", ""Outdoor dining area"", ""Air conditioning"", ""Iron"", ""Host greets you"", ""Dryer"", ""Kitchen"", ""Pets allowed"", ""Heating"", ""Exterior security cameras on property"", ""Shared hot tub"", ""Dedicated workspace"", ""Paid parking on premises"", ""TV"", ""Shared pool""]",21,730,21.0,21.0,730.0,730.0,21.0,730.0,0,0,0,224,0,0,0,0,0,0,0.0,,,,,,,,,,f,1,1,0,0,,$157.00
4,city scrape,Private Oasis! 3Bed/2Bath/1Car ~ 5mins to CBD,"Brisbane inner-city living at its best! <br /><br />This spacious, modern & peaceful apartment puts you in the heart of the action. <br /><br />Walk to Howard Smith Wharves, the Riverwalk, and the CBD. <br /><br />The stylish James Street precinct, featuring the renowned Calile Hotel, along with a fantastic selection of cafes, restaurants, and bars, are just moments walk away. <br /><br />Plus, the building's refreshing pool is right outside your door for those warm Brisbane days and enjoy the convenience of secure, allocated parking.","Location (walking)<br /><br />•	1 min e-Scooters/Bikes (depending if left outside)<br />•	1 min to Cafes (outside)<br />•	1 min to Bus Stop ~ 4 mins to CBD <br />•	2 mins to James Street (Calile Hotel, Palace Cinema, Specialty Shopping, Bars, Cafes, Restaurants)<br />•	3 mins Gasworks Woolworths Supermarket (Drive Uber)<br />•	3 mins to New Farm Village (Coles Supermarkets, Cafes, Bottleshop, Pharmacy) (drive)<br />•	4 mins to New Farm Park + Powerhouse (drive – 15 mins walk)<br />•	4 mins to Howard Smith Wharves (walk)<br />•	9 mins to Royal Brisbane Hospital (drive/Uber)<br />•	10 mins South Bank, State Library, GOMA, Museum + QPAC (Uber)<br />•	11 mins to Southbank Dining + Parklands Precinct (Grey Street - Cinema, Restaurants, Bars, Cafes)<br />•	15 mins Queen Street Mall Shopping (Walk)<br />•	17 mins Brisbane Airport (Drive / Uber)",3384506,Andy,2012-08-27,"Brisbane, Australia","Brisbane’s Leading Property Management Company. 

•	SuperHost for 8+ years!

•	In 2024 we were named by Airbnb as Australia's Elite Property Management Company.

•	In 2020, I was inducted by Airbnb as Brisbane’s Airbnb Community Leader.

We love what we do❣️",within an hour,100%,97%,t,,155.0,"['email', 'phone']",t,t,Fortitude Valley,-27.458773726711836,153.03818020849187,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,3.0,"[""Refrigerator"", ""Stainless steel single oven"", ""Dishwasher"", ""Noise decibel monitors on property"", ""Free washer \u2013 In unit"", ""Bed linens"", ""Lockbox"", ""Smoke alarm"", ""Toaster"", ""Cleaning products"", ""Wifi"", ""Dishes and silverware"", ""Coffee"", ""Bathtub"", ""Cooking basics"", ""Outdoor dining area"", ""Hot water kettle"", ""Hair dryer"", ""Hangers"", ""Pool view"", ""Free dryer \u2013 In unit"", ""Iron"", ""Heating - split type ductless system"", ""First aid kit"", ""Hot water"", ""Shower gel"", ""Room-darkening shades"", ""Self check-in"", ""Folding or convertible high chair - available upon request"", ""Shampoo"", ""Private patio or balcony"", ""Kitchen"", ""Wine glasses"", ""Free residential garage on premises \u2013 1 space"", ""Pack \u2019n play/Travel crib - available upon request"", ""Exterior security cameras on property"", ""Freezer"", ""Microwave"", ""Stainless steel gas stove"", ""AC - split type ductless system"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Conditioner"", ""Private entrance"", ""Shared outdoor pool - available all year, open specific hours"", ""65 inch HDTV with Netflix"", ""Dining table""]",7,365,2.0,7.0,365.0,1125.0,6.2,746.0,7,18,31,31,23,23,3,17,0,255,76500.0,2025-04-09,2025-11-09,4.74,4.87,4.87,4.78,4.87,4.83,4.57,f,132,132,0,0,3.18,$300.00
5,city scrape,Ladies only room | urban sanctuary at West End,"This is a room with a dedicated bathroom for you and only to enjoy in a lovely apartment located in the heart of west end. <br /><br />Within 5 minutes walking distance, there’s various entertainments at the renounced West Village, including restaurants, desserts, supermarkets, gyms and spas. Bus stops are within 3 minutes walking distance which provides easy access for you to tour around Brisbane. <br /><br />Ladies Only. Host is female. This is a clean and quiet sanctuary you can call home during your stay.",,554919640,Jingting,2024-01-06,,,within an hour,100%,60%,f,,2.0,"['email', 'phone']",t,t,West End,-27.47757,153.01114,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Essentials"", ""Bed linens"", ""Elevator"", ""Smoke alarm"", ""Dishes and silverware"", ""Washer"", ""Hot water kettle"", ""Hangers"", ""Coffee maker: Nespresso"", ""Air conditioning"", ""First aid kit"", ""Shower gel"", ""Cleaning available during stay"", ""Room-darkening shades"", ""Paid parking off premises"", ""Fire extinguisher"", ""Host greets you"", ""Shampoo"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Clothing storage"", ""Dedicated workspace"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Conditioner""]",1,365,1.0,2.0,365.0,365.0,1.1,365.0,17,17,17,17,0,0,0,17,0,0,0.0,,,,,,,,,,f,1,0,1,0,,$101.00
6,city scrape,"Mountainview, near Brisbane city","Our large air-conditioned three bedroom  apartment sleeps six. There are two bathrooms, two balconies, a full size kitchen and laundry, secure carpark and free Foxtel with lovely Brisbane River and Mt Cootha views.",,2318421,Bell,2012-05-08,"Brisbane, Australia","Hi everyone, I really enjoy travelling, walking and spending time with my friends and family. I am a director at Founda Gardens in Brisbane and my employees love travel too.",within a day,100%,22%,f,,5.0,"['email', 'phone', 'work_email']",t,t,Auchenflower,-27.47528,153.002,Entire rental unit,Entire home/apt,6,0.0,0 baths,3.0,0.0,"[""Hair dryer"", ""Self check-in"", ""Hangers"", ""Smoking allowed"", ""Essentials"", ""Dryer"", ""Air conditioning"", ""Iron"", ""Kitchen"", ""Elevator"", ""Building staff"", ""Smoke alarm"", ""Free parking garage on premises"", ""TV"", ""Pool"", ""Wifi"", ""Washer""]",2,1125,2.0,5.0,1125.0,1125.0,2.4,1125.0,17,26,49,274,8,0,0,25,0,0,0.0,2015-12-28,2017-10-22,4.63,4.88,5.0,5.0,5.0,5.0,4.75,f,5,5,0,0,0.07,$284.00
7,city scrape,Modern studio unit in the heart of Kenmore,"Self contained studio apartment in Kenmore village. Very convenient for public transport, shops, restaurants and other amenities.<br /><br />- keypad entrence <br />- off street parking<br />- air conditioning <br />- fully functional kitchen <br />- pots, pans, cutlery, crockery etc<br />- basic condiments provided<br />- Kenmore transport hub, 3 min walk<br />- Shopping  Centre with supermarket, bottle shop, bakery, doctors surgery, chemist, bank. ATM. Post Office,  5 mins walk<br />10 Restaurants within 7 min walk.",Kenmore is a established leafy suburb 8 km west of the city centre. Enjoy the peace and quiet away from the hustle and bustle of the city.,177364101,Tapash,2018-03-08,"Pullenvale, Australia","Greetings and welcome to Kenmore. A little bit about me. I  am of Indian origin, born in the UK and have now been living in Australia for the past 25 years. 

I am an engineer working for the government in chemical safety. I live with my wife and 2 girls in the adjacent suburb to  where the accomdation is.  I am able to provide you personal service and cater to your needs at short notice. 

I love meeting people from all walks of life,  sharing experiences and life stories. I  love to travel to places off the beaten track and experience  local life. Unfortunately with 3 ladies in my household it's becoming difficult as they demand their creature comforts. 

I am happy to have a yarn over a drink  or two,  or give you total privacy should you require it. I can provide you information and advice about the local eateries, amenities and what to do around Brisbane. 

I would love to be your host,  so come stay with me. ",within a few hours,100%,84%,t,,4.0,"['email', 'phone', 'work_email']",t,t,Kenmore,-27.5068,152.93716,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Essentials"", ""Dishwasher"", ""Bed linens"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Washer"", ""Free street parking"", ""Hangers"", ""Air conditioning"", ""Iron"", ""Hot water"", ""Cleaning available during stay"", ""Stove"", ""Self check-in"", ""Fire extinguisher"", ""Keypad"", ""Shampoo"", ""Kitchen"", ""Heating"", ""Microwave"", ""Long term stays allowed"", ""Private entrance"", ""TV"", ""Single level home"", ""Oven""]",6,90,6.0,6.0,90.0,90.0,6.0,90.0,0,9,39,314,42,0,0,0,0,0,0.0,2019-05-14,2023-11-03,4.26,4.43,4.21,4.64,4.69,4.64,4.52,f,4,3,1,0,0.53,$90.00
8,city scrape,Entertainment centre,Tiny and tidy place. My name is Baran and I am full-time worker and also I am renting 2 rooms of my house for extra money. Quite and peaceful place. You will not regret.,,659366901,Baran,2024-10-28,"Perth, Australia",,,,,f,,1.0,"['email', 'phone']",t,t,Morningside - Seven Hills,-27.47413515466084,153.0727289351414,Private room in rental unit,Private room,2,1.0,1 private bath,4.0,1.0,"[""Exercise equipment"", ""Fire extinguisher"", ""Air conditioning"", ""Hot tub"", ""First aid kit"", ""Kitchen"", ""Smoke alarm"", ""Beach access"", ""TV"", ""Washer"", ""BBQ grill"", ""Wifi"", ""Carbon monoxide alarm"", ""Lock on bedroom door""]",1,365,1.0,1.0,365.0,365.0,1.0,365.0,0,7,37,312,0,0,0,0,0,0,0.0,,,,,,,,,,f,1,0,1,0,,$97.00
9,city scrape,Hamilton House Entire Place,Cozy Queenslander | Close to Airport & City | Scenic Riverview | Cafes & Restaurants,,104027838,Jing,2016-11-16,Australia,"I have been living in Australia for over 10 years. We have two kids and we are an active family. We love camping, bushwalking and spend time in nature. We both working part time as we want to spend more time with family while the kids are young.",within an hour,100%,92%,t,,3.0,"['email', 'phone']",t,t,Ascot,-27.43589,153.07102,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Laundromat nearby"", ""Baking sheet"", ""Exercise equipment"", ""Refrigerator"", ""Essentials"", ""Backyard"", ""Children\u2019s dinnerware"", ""Dishwasher"", ""Bed linens"", ""Lockbox"", ""Books and reading material"", ""Smoke alarm"", ""Mini fridge"", ""Toaster"", ""Wifi"", ""Dishes and silverware"", ""Coffee"", ""Bathtub"", ""Cooking basics"", ""Blender"", ""Outdoor playground"", ""Hot water kettle"", ""Hair dryer"", ""Mini golf"", ""Free street parking"", ""Coffee maker: Nespresso"", ""Air conditioning"", ""Babysitter recommendations"", ""First aid kit"", ""Hot water"", ""Shower gel"", ""Children\u2019s books and toys"", ""Stove"", ""Room-darkening shades"", ""Self check-in"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Board games"", ""Heating"", ""Exterior security cameras on property"", ""Freezer"", ""Microwave"", ""Outdoor furniture"", ""Children's playroom"", ""Rice maker"", ""Ethernet connection"", ""Free parking on premises"", ""Patio or balcony"", ""Conditioner"", ""Private entrance"", ""Body soap"", ""Outlet covers"", ""TV"", ""Dining table"", ""Oven""]",5,365,2.0,6.0,365.0,365.0,5.0,365.0,0,0,2,2,4,4,2,0,0,40,4040.0,2025-05-06,2025-10-23,4.75,5.0,4.75,5.0,5.0,4.5,5.0,f,3,3,0,0,0.63,$101.00
